original	translation	z_mean	pred_zscore
The Big Ten followed the NCAA actions, concurring with its findings by officially censuring Penn State and levying a separate fine of $13 million.	Die Big Ten folgten den NCAA-Aktionen, die mit ihren Feststellungen übereinstimmten, indem sie Penn State offiziell kritisierten und eine separate Geldstrafe von 13 Millionen Dollar verhängten.	-0.5564941	-0.13774091432129099
Two other EF0 tornadoes touched down in Arkansas and Louisiana.	Zwei weitere EF0 Tornados landeten in Arkansas und Louisiana.	0.56921434	-0.06308188265007517
Allen first appeared as the superhero Impulse, a teenage sidekick of the superhero the Flash, before he became the second hero known as Kid Flash.	Allen erschien zuerst als Superheld Impulse, ein Teenager-Anhänger des Superhelden Flash, bevor er der zweite Held wurde, der als Kid Flash bekannt ist.	0.36197594	-0.21919845493506923
Stimulates maturation of the follicle, which then in turn secretes estrogen.	Stimuliert die Reifung des Follikels, das wiederum Östrogen absondert.	0.6353059	-0.07470253912144872
Israeli jets used napalm bombs during their sorties.	Israelische Jets nutzten Napalmbomben während ihrer Leiden.	-0.44143388	-0.03473914582291699
They streamlined the Superman mythos, by downsizing his abilities and reducing his normal powerful prowess.	Sie rationalisierten den Superman-Mythos, indem sie seine Fähigkeiten herabstuften und seine normalen mächtigen Fähigkeiten reduzierten.	0.45118472	-0.13928801090757922
Frustrated at the dismissal of former President Nathan B.	Frustriert über die Entlassung des ehemaligen Präsidenten Nathan B.	0.561521	-0.09550481434740904
Most of his inscriptions began with invocations to Shiva.	Die meisten seiner Inschriften begannen mit Anrufen an Shiva.	-0.40943408	-0.07530031399962489
It campaigned Ford Fusions with Hermie Sadler driving.	Es Kampagnen Ford Fusions mit Hermie Sadler fahren.	-0.17803301	-0.6901411928290416
The storyline ended with Carla managing to untie herself and escaping but Tony perishing in the blaze.	Die Handlung endete mit Carla gelingt es, sich zu lösen und zu entkommen, aber Tony in der Flamme zugrunde gehen.	-0.8494475	-0.3930452625344245
Duarte Pacheco and his troops went back on their longboats.	Duarte Pacheco und seine Truppen fuhren auf ihren Langbooten zurück.	0.53902096	-0.0531615797507677
The University of Regina Cougars coach swimmers who compete in Canadian Interuniversity Sport.	Die University of Regina Cougars Trainer Schwimmer, die im kanadischen interuniversitären Sport konkurrieren.	-0.3762751	-0.28007597926908634
A Soldier's Best Friend; Scout Dogs and their Handlers in the Vietnam War.	Ein bester Freund eines Soldaten; Pfadfinderhunde und ihre Handler im Vietnamkrieg.	-0.7548785	-0.16254457691526158
Gunther agrees and the Burgundians and their vassals arrive at Etzel's court.	Gunther stimmt zu und die Burgunder und ihre Vasallen kommen am Hof von Etzel an.	0.38402435	-0.0750885869315953
On 11 June, the besiegers began the bombardment with their great guns, some of the shots from which weighed 17, 19, 24, and 31 lbs.	Am 11. Juni begannen die Belagerer die Bombardierung mit ihren großen Geschützen, von denen einige 17, 19, 24 und 31 lbs wogen.	0.25176135	-0.11554370999018204
He immediately nominated Damien and Kyra for eviction.	Er ernannte Damien und Kyra sofort zur Räumung.	0.85710317	-0.09116204885941963
General Gerd von Rundstedt, the commander of Army Group A, also disagreed with it.	Auch General Gerd von Rundstedt, Kommandeur der Heeresgruppe A, stimmte ihr nicht zu.	0.32001266	-0.09416327096953374
Han Fei gained new prominence with favourable citations.	Han Fei gewann neue Bekanntheit mit günstigen Zitaten.	0.45786688	-0.03533692070109316
They first attacked Arsuf, which surrendered without resistance on 29 April, securing a safe passage for the townspeople to Ascalon.	Sie griffen zuerst Arsuf an, der sich am 29. April widerstandslos ergeben hatte, um den Stadtbewohnern einen sicheren Durchgang nach Ascalon zu sichern.	0.6119951	-0.13119008609981975
They consist of a row of nephrons, each emptying directly into the mesonephric duct.	Sie bestehen aus einer Reihe von Nephonen, die sich jeweils direkt in den mesonephrischen Kanal entleeren.	0.9139843	-0.14044252265589152
The arc formed by the subduction of the Gorda and Juan de Fuca plates at the Cascadia subduction zone.	Der Bogen durch die Subduktion der Gorda und Juan de Fuca Platten in der Cascadia Subduktionszone gebildet.	0.29651353	-0.2607016814556343
Between 30 March and 24 April, she cruised in the central Baltic and in the waters around Rügen.	Vom 30. März bis 24. April fuhr sie in der zentralen Ostsee und in den Gewässern um Rügen.	0.4967552	-0.15515483012235237
Dumplings symbolize wealth because their shape resembles a Chinese sycee.	Knödel symbolisieren Reichtum, weil ihre Form einem chinesischen Sycee ähnelt.	0.5353009	-0.11768967095928469
Together with Goldar, he defects from Lord Zedd to join Ivan Ooze, when Ivan imprisons Lord Zedd and Rita Repulsa in a snowglobe.	Zusammen mit Goldar mangelt es ihm an Lord Zedd, sich Ivan Ooze anzuschließen, als Ivan Lord Zedd und Rita Repulsa in eine Schneekugel einsperrt.	0.007923638	-0.31846176985145935
Wolves may encounter striped hyenas in Israel, Central Asia and India, usually in disputes over carcasses.	Wölfe können gestreiften Hyänen in Israel, Zentralasien und Indien begegnen, in der Regel in Streitigkeiten um Schlachtkörper.	-0.4809856	-0.13929781644932332
In some cases, the aphids secrete the honeydew in response to ants tapping them with their antennae.	In einigen Fällen sezernieren die Blattläuse den Honigtau als Reaktion auf Ameisen, die sie mit ihren Antennen abklopfen.	0.613558	-0.15712574401291254
Lynchings against individual blacks averaged about one a week across the south.	Lynchings gegen einzelne Schwarze im Durchschnitt etwa eine Woche über den Süden.	-0.41456705	-0.10924310466729124
Rivers and lakes are populated with pike, walleye, whitefish, rainbow, speckled, brown trout, and sturgeon.	Flüsse und Seen sind mit Hecht, Walleye, Weißfischen, Regenbogen, gesprenkelten, Bachforellen und Stör besiedelt.	-0.5095234	-0.19305833331820174
In the past clarinetists used to wrap a string around the mouthpiece and reed instead of using a ligature.	Früher wickelten Klarinettisten eine Schnur um das Mundstück und das Rohr, anstatt eine Ligatur zu verwenden.	0.5642511	-0.18868179318642717
1990 John Meurig Thomas, New microcrystalline catalysts.	1990 John Meurig Thomas, Neue mikrokristalline Katalysatoren.	0.6306338	0.0029210346703940726
He also brought the Ancients and Moderns quarrel into English with his Reflections on Ancient and Modern Learning.	Mit seinen Reflections on Ancient and Modern Learning brachte er auch den Streit der Ältesten und Modernen ins Englische.	-0.61764866	-0.12801563275222688
On 19 July, the Privy Council proclaimed Mary queen to the acclamation of the crowds in London.	Am 19. Juli proklamierte das Privy Council Mary Queen zur Akklamation der Menschenmenge in London.	0.67991155	-0.1923744875736053
"Josh Schwartz characterized the later Luke as ""strumming a guitar being a goofball."""	"Josh Schwartz bezeichnete den späteren Lukas als ""Gitarre schrumpfen als Goofball""."	-0.5097029	-0.46076451282832054
The familiar invertebrate groups including bryozoans, cephalopods, corals, gastropods, and pelecypods were all present.	Die bekannten wirbellosen Gruppen, darunter Bryozoane, Kopffüßer, Korallen, Astropoden und Pelecypoden, waren alle anwesend.	0.51416826	-0.11178201364258258
Powell resigned from the Union Army on January 5, 1865.	Powell trat am 5. Januar 1865 aus der Gewerkschaftsarmee zurück.	0.5791651	-0.022474592110348808
About , the notarized testament in Monein de Ramon de Forcade, Priest.	Über das notariell beglaubigte Testament in Monein de Ramon de Forcade, Priester.	0.609461	-0.4489386663167468
Aleksandr Ezhevsky, 101, Soviet engineer and statesman.	Alexander Eschewski, 101, sowjetischer Ingenieur und Staatsmann.	0.66531986	0.01925053018820272
A British historical drama starring Marlene Dietrich and Robert Donat, with Dietrich as an imperiled aristocrat on the eve of the Russian Revolution.	Ein britisches historisches Drama mit Marlene Dietrich und Robert Donat, mit Dietrich als gefährdeter Aristokrat am Vorabend der russischen Revolution.	0.5073671	-0.08604682458292433
Notable dishes in the state include Sarawak laksa, kolo mee, and ayam pansuh.	Zu den bemerkenswerten Gerichten im Staat gehören Sarawak laksa, kolo mee und ayam pansuh.	0.3699476	-0.12285719145841509
Hotel Monte Ne and Missouri Row both featured porches 575 ft long.	Hotel Monte Ne und Missouri Row beide mit Veranda 575 ft lang.	0.010440944	-0.3298583515355701
177 Gene Rowe Tennessee Luney Honeymoon / Memory From The Past 1954	177 Gene Rowe Tennessee Luney Honeymoon / Erinnerung aus der Vergangenheit 1954	0.18239866	-0.2550144672440677
The Indians fired back at the sailors with musket balls loaded in cannon on the shore.	Die Indianer feuerten zurück auf die Matrosen mit Muskettbällen, die in Kanonen am Ufer geladen waren.	0.48742515	-0.14402045588784265
Juliette comes back to Nashville and reconnects with Avery and Cadence.	Juliette kommt zurück nach Nashville und verbindet sich wieder mit Avery und Cadence.	0.6015962	-0.09814686309511961
resuscitation practices, tracheal intubation, and the administering of medication.	Wiederbelebungspraktiken, tracheale Intubation und die Verabreichung von Medikamenten.	0.48402002	-0.15425562562759892
In 2014, after storms and heavy rain, a landslip caused the road between Ventnor and Niton to collapse.	Nach Stürmen und starkem Regen brach 2014 die Landrutsche zwischen Ventnor und Niton zusammen.	-0.4467366	-0.11421088264941259
When Patrizia wakes up from her coma, she fools Leonard that Mila is his and tries to get Leonard back.	Als Patrizia aus ihrem Koma aufwacht, täuscht sie Leonard, Mila sei sein und versucht, Leonard zurückzuholen.	0.65875703	-0.19173749052845282
Castell Y Bere's starving garrison would eventually surrender on 25 April.	Castell Y Beres hungernde Garnison würde sich schließlich am 25. April ergeben.	0.44856414	-0.15486574822500837
"He boasted to Texian Army commander Sam Houston that the Texians could ""whip 10 to 1 with our artillery""."	"Er prahlte dem Texian Army Kommandanten Sam Houston, dass die Texianer ""10 zu 1 mit unserer Artillerie peitschen"" könnten."	0.3234661	-0.1662194760600153
Rumours abounded that Bokassa himself occasionally participated in beatings and executions.	Gerüchten zufolge beteiligte sich Bokassa selbst gelegentlich an Schlägen und Hinrichtungen.	0.6763026	-0.10676702379280455
Colonel Sweet reinstated Colonel Strong as commander of the garrison.	Colonel Sweet setzte Colonel Strong wieder als Kommandant der Garnison ein.	0.61206466	-0.07750547138740477
On 19 June, the regiment experienced its first fatality when Trooper Vincent Thompson died of meningitis.	Am 19. Juni erlebte das Regiment sein erstes Todesopfer, als Trooper Vincent Thompson an Meningitis starb.	0.5750872	-0.08818624852419758
Others were scalped, dismembered, and cannibalized.	Andere wurden skalpiert, zerstückelt und kannibalisiert.	0.37962523	-0.1329874055846884
Several hundred rioters ransacked the Singapore embassy in Jakarta and the homes of Singaporean diplomats.	Mehrere hundert Randalierer durchwühlten die Botschaft Singapurs in Jakarta und die Häuser singapurischer Diplomaten.	0.50445706	-0.06350533678613435
XXI Bomber Command followed up the firebombing of Tokyo with similar raids against other major cities.	XXI Bomber Command folgte der Bombardierung Tokios mit ähnlichen Angriffen auf andere Großstädte.	0.5625573	-0.0782234549439991
It appears we’re stuck, happily, with this furry goodwill ambassador.	Es sieht so aus, als ob wir mit diesem pelzigen Botschafter des guten Willens zufrieden waren.	-0.45787364	-0.197422525730743
The Squadron attacked towards Baghdad fighting both the Republican Guard and the Sadam Fedayeen.	Das Geschwader griff Bagdad an und kämpfte sowohl gegen die Republikanische Garde als auch gegen die Sadam Fedayeen.	0.58890855	-0.06589353095313705
It sufficed, however, to demonstrate his credentials as a medievalist in the eyes of his contemporaries.	Es genügte jedoch, in den Augen seiner Zeitgenossen seine Anerkennung als Medivalist zu demonstrieren.	0.5158429	-0.100090539369724
Furthermore, norepinephrine transporter knockout in mice models increases their tolerance to stress, implicating norepinephrine in depression.	Darüber hinaus erhöht Norepinephrin Transporter Knockout in Mäusemodellen ihre Toleranz gegenüber Stress, was Norepinephrin in Depressionen.	-0.098164916	-0.5279023308136139
His soldiers celebrated his victories with grand parades around the Carrousel.	Seine Soldaten feierten seine Siege mit großen Paraden rund um den Karussell.	0.33621323	-0.05753230919113837
A single barge carries the equivalent of 15 railcars and on the Lower Mississippi some tows handle up to 40 plus barges.	Ein einziger Lastkahn trägt das Äquivalent von 15 Triebwagen und auf dem Unteren Mississippi halten einige Schlepper bis zu 40 plus Lastkähne.	0.51110834	-0.33639828471065897
In April, former Pakistan Test cricketer Mohsin Kamal replaced Chappell as coach.	Im April ersetzte der ehemalige Pakistan Test Cricketer Mohsin Kamal Chappell als Trainer.	0.43439424	-0.10877897569140477
In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes and assistants.	Im häuslichen Kult fungierten die Paterfamilien als Priester und Mitglieder seiner Familie als Assistenten.	-0.89982545	-0.14336929528239314
Later, he joins the Thunderbolts in their efforts to assassinate Moon Knight.	Später schließt er sich den Thunderbolts in ihren Bemühungen an, Mondritter zu ermorden.	0.5054422	-0.11379614455045926
That afternoon, he backtracked 60 mi westward to Lake City.	An diesem Nachmittag zog er 60 Meilen westwärts nach Lake City zurück.	0.5739429	-0.08039992204297222
Soon Kandy revolted and the Portuguese army retreated to Mannar.	Bald rebellierte Kandy und die portugiesische Armee zog sich nach Mannar zurück.	0.6763026	-0.027317077059073578
"Thompson called Stuckey ""a rich playboy"" who ""socializes with the Kennedy crowd in Washington""."	"Thompson nannte Stuckey ""einen reichen Playboy"", der ""mit dem Kennedy-Publikum in Washington sozialisiert""."	0.64619327	-0.1199184342808929
On November 24, 2000, Pérez teamed with Steve Corino to defeat Laureano and Yoshihiro Tajiri.	Am 24. November 2000 schlug Pérez gemeinsam mit Steve Corino Laureano und Yoshihiro Tajiri.	-0.031896964	-0.06283057024685651
In the Bahamas, the anemometer at Ragged Island blew away after registering a 150 mi/h wind gust.	Auf den Bahamas wehte das Anemometer auf Ragged Island nach der Registrierung einer 150 mi / h Windböe weg.	0.33811167	-0.12362747123764452
This provoked a backlash from the Montagnards, some joining the NLF as a result.	Dies provozierte eine Gegenreaktion von den Montagnards, von denen einige der NLF beitraten.	0.48545453	-0.10438500348541849
Hinde claimed that M'Intosh recounted that American Indians and Welshmen living on the Mississippi River were conversing in Welsh in the late 1700s.	Hinde behauptete, M 'Intosh erzähle, dass amerikanische Indianer und Welshmen, die auf dem Mississippi leben, in den späten 1700er Jahren in Walisisch sprachen.	0.27722186	-0.15560479553794185
On 10 January 1967, Wallace L. Lind departed the Destroyer and Submarine Pier, Norfolk, and commenced a Mediterranean tour.	Am 10. Januar 1967 verließ Wallace L. Lind den Destroyer and Submarine Pier, Norfolk, und begann eine Mittelmeertour.	-0.28354245	-0.07565476617526276
Paralleling the coast, Newton steadily intensified.	Parallel zur Küste intensivierte sich Newton stetig.	0.56979966	-0.10139649226275041
He served patrolling the coast of West Africa guarding against slavers.	Er diente dazu, die Küste Westafrikas vor Sklaven zu beschützen.	0.29181486	-0.07007032856790257
However, she withdrew from the tournament before it began, citing a collarbone injury.	Jedoch zog sie sich aus dem Turnier zurück, bevor es begann, unter Berufung auf eine Kollarknochenverletzung.	-0.16346733	-0.11361092876195997
Schurz, now considered a Liberal Republican ringleader, advocated full amnesty for former Confederates.	Schurz, der heute als liberaler republikanischer Anführer gilt, befürwortete eine vollständige Amnestie für ehemalige Konföderierte.	0.52571666	-0.08082991320686078
Powhatan Henry Clarke, K Troop, 10th Cavalry Regiment during the pursuit of Geronimo in May 1886.	Posowan Henry Clarke, K Truppe, 10. Kavallerie Regiment während der Verfolgung von Geronimo im Mai 1886.	0.52237207	-0.3245441110784912
The coureurs des bois and the soldiers borrowed canoes and moccasins.	Die Coureurs des bois und die Soldaten borgten sich Kanus und Mokassins.	-0.108149596	-0.06998207869220585
For example, assemblé, pas de bourrée, and glissade can be designated as under or dessous.	Zum Beispiel Assemblé, Pas de Bourrée und Glissade können als unter oder dessous bezeichnet werden.	0.30249983	-0.39515563301867823
DNA replication Prokaryotic DNA replication Processivity	DNA-Replikation Prokaryotische DNA-Replikation Prozess	0.30937827	-0.13302226973311182
He greets the executioner and asks him where he his from.	Er grüßt den Henker und fragt ihn, woher er kommt.	0.5203047	-0.15373738458801364
Fore River also constructed the battleship , and the cruisers and as well as the Navy's first carrier and its successor .	Fore River baute auch das Schlachtschiff und die Kreuzer sowie den ersten Träger der Marine und seinen Nachfolger.	0.5308381	-0.13205406327793706
Captain Robert Cunliffe relieved Talbott on 22 August.	Captain Robert Cunliffe entlastet Talbott am 22. August.	0.611723	-0.13126489875164496
Today, some Kibbutzim operate major industrial ventures.	Heute betreiben einige Kibbutzim große Industrieunternehmen.	0.6119951	-0.05560679132717117
She arrives in the Land of Ev, where a trio of Wheelers rudely wakes her up and accuses her of being a witch.	Sie kommt im Land Ev an, wo ein Trio von Wheelers sie rücksichtslos weckt und beschuldigt, eine Hexe zu sein.	0.33557355	-0.19402799244622745
In June 2011, the Afghan National Army returned the loaned C7 rifles as the ANA preferred the American M16 rifle.	Im Juni 2011 gab die afghanische Nationalarmee die ausgeliehenen C7-Gewehre zurück, da die ANA das amerikanische M16-Gewehr bevorzugte.	0.46691576	-0.12872381076707715
After successfully escorting the convoys, Wichita returned to Hvalfjörður, arriving on 6 May.	Nach erfolgreicher Begleitung der Konvois kehrte Wichita am 6. Mai nach Hvalfjörður zurück.	0.39160144	-0.09493318758055042
Council of Association of Polish Writers convenes in Warsaw, electing Józef Szczepański as president, December 29.	Der Rat der Assoziation polnischer Schriftsteller tritt am 29. Dezember in Warschau zusammen und wählt Józef Szczepański zum Präsidenten.	0.713099	-0.07761187967373867
Interpreting Serials, in his The Limits of Interpretation, pp.	Interpreting Serials, in seinem The Limits of Interpretation, pp.	-0.75004	-0.3197005366251282
"He would often refer to these jaunts as his ""cruising""."	"Er würde diese Schnäppchen oft als seine ""Kreuzfahrt"" bezeichnen."	-0.5877178	-0.14999965734245527
During the absolution, the Libera me, Domine is sung while the priest incenses the coffin and sprinkles it with holy water.	Während der Absolution, der Libera me, wird Domine gesungen, während der Priester den Sarg räuchert und mit heiligem Wasser bestreut.	-0.7832075	-0.2464545924696982
They won the 2010 NRL Grand Final against the Sydney Roosters.	Sie gewannen das NRL Grand Final 2010 gegen die Sydney Roosters.	0.69840217	-0.05263861752441674
On 18 August 1780, whilst at the Post House in Pyritz, Corry wrote a very brief codicil, later referred to as the second or Pyritz Codicil.	Am 18. August 1780 schrieb Corry in der Post in Pyritz einen sehr kurzen Code, der später als zweiter oder Pyritz Codicil bezeichnet wurde.	0.62968624	-0.11636047530064267
In 2012 Kiplinger's Personal Finance ranked Kalamazoo fourth of the Ten Best Cities for Cheapskates.	Im Jahr 2012 belegte Kiplingers Personal Finance Kalamazoo den vierten Platz unter den zehn besten Städten für Cheapskates.	0.3560178	-0.18941103495761655
Instead of revering the divine, Renaissance artists honoured themselves, arrogantly celebrating human sensuousness.	Anstatt das Göttliche zu verehren, ehrten sich Renaissancekünstler und feierten arrogant menschliche Sinnlichkeit.	0.8923395	-0.15736325602404694
Communal shelters never housed more than one seventh of Greater London residents.	In kommunalen Schutzhäusern waren nie mehr als ein Siebtel der Bewohner des Großraums London untergebracht.	0.585564	-0.09703266301842187
"The ""Krüger"" primer utilizes the partial SSU, the ITS, and the partial LSU regions, while the ""Redecker"" primer utilizes the partial SSU and the ITS."	"Die ""Krüger"" -Grundierung nutzt die partielle SSU, die ITS und die partielle LSU-Region, während die ""Redecker"" -Grundierung die partielle SSU und die ITS nutzt."	0.35518762	-0.1682978877415476
He would consume entire lamb chops, bone and all, to the disgust of his fellow diners.	Er würde ganze Lammkoteletts, Knochen und alle verzehren, zum Abscheu seiner Landsleute.	0.17853542	-0.28797307205519856
Disputed environmental reasons for evicting Romani settlements	Umstrittene Umweltgründe für die Räumung romanischer Siedlungen	0.35900903	-0.05883208822454815
Roman Army Researches Band 12), Steiner, Stuttgart, 2000, .	Roman Army Researches Band 12), Steiner, Stuttgart, 2000,.	-1.0565295	-0.24113962567619385
Upon Frank's vehement declaration of innocence, and the Justice’s sympathetic acquittal, Morris abandons his suit against Frank.	Nach Franks vehemente Erklärung der Unschuld, und die Gerechtigkeit sucht sympathischen Freispruch, Morris verzichtet auf seine Klage gegen Frank.	-1.2463491	-0.4506949477935754
There, Alison discovers that Emily's donated eggs were fertilized and implanted inside her uterus.	Dort entdeckt Alison, dass Emily 's gespendete Eier befruchtet und in ihre Gebärmutter implantiert wurden.	-0.90311563	-0.16991507579289541
The teeth of spur gears clatter together when the gears spin, generating a characteristic whine.	Die Zähne der Zahnräder klatschen zusammen, wenn die Zahnräder drehen, was ein charakteristisches Weinen erzeugt.	-0.17015456	-0.4699653794981827
Similar to ants, cockroaches leave chemical trails in their faeces as well as emitting airborne pheromones for swarming and mating.	Ähnlich wie Ameisen hinterlassen Kakerlaken chemische Spuren in ihrem Kot und emittieren luftgetragene Pheromone für Schwärmen und Paarung.	0.24927789	-0.12916070212700784
"Mustered in as ""mate"" November 27, 1861, with Captain Henry Mulrenan's Florida Volunteer Coast Guards."	"Mustered in als ""mate"" 27. November 1861, mit Captain Henry Mulrenan 's Florida Volunteer Coast Guards."	-0.23069252	-0.3167904697364128
In Brittany, Duke Conan III declared his son Hoël a bastard and disinherited him on his deathbed in 1148.	In der Bretagne erklärte Herzog Conan III. seinen Sohn Hoël zum Bastard und vererbte ihn 1148 auf seinem Sterbebett.	-1.7778332	-0.09375034871164413
In the immediate aftermath, Rotterdam surrendered.	Unmittelbar danach kapitulierte Rotterdam.	0.5782504	-0.040337746990574186
Hitting the enemy with another burst from 200 yards the Bf 109 burst into flames.	Hitting den Feind mit einem anderen Burst von 200 Metern die Bf 109 in Flammen platzen.	-1.0520089	-0.5809397797709196
Gasquet underwent groin hernia surgery on 18 January.	Gasquet unterzogen Leistenbruch Chirurgie am 18. Januar.	-0.22377995	-0.2952542315524974
In July 1950, however, the United States Court of Appeals for the District of Columbia overruled Denham's order.	Im Juli 1950 entschied jedoch das Berufungsgericht der Vereinigten Staaten für den District of Columbia Denham 's Befehl nicht.	-0.54996276	-0.1360964886539874
Originally published by Macmillan Press Ltd., 1972) Trooping the Colour.	Ursprünglich herausgegeben bei Macmillan Press Ltd., 1972) Trooping the Colour.	-0.61753505	-0.2745235004644476
The embodiment of castration, Ashley wears the head of Medusa on his cravat pin.	Die Verkörperung der Kastration, Ashley trägt den Kopf der Medusa auf seinem cravat pin.	-0.42116717	-0.269369054020976
Killer Croc appears in Son of Batman, voiced by Fred Tatasciore.	Killer Croc erscheint in Sohn von Batman, geäußert von Fred Tatasciore.	-0.37877208	-0.11774087767728156
At first, the Fore distrusted and feared the colonial forces.	Zunächst misstraute und fürchtete die Fore die Kolonialmächte.	0.7112047	-0.06353802192528128
So until 1937/1938 many presbyteries in Berlin congregations lost their German Christian majority by mere absenteeism.	So verloren bis 1937 / 1938 viele Presbyterien in Berliner Gemeinden ihre deutsche christliche Mehrheit durch bloße Abwesenheit.	0.9771762	-0.08896270216304365
The Notitia also suffers from significant lacunae and numerous errors accumulated from centuries of copying.	Die Notitia leidet auch an erheblichen Lücken und zahlreichen Fehlern, die sich aus Jahrhunderten des Kopierens angesammelt haben.	0.6087866	-0.1058278707946493
"2, July 1948 ""Zorro Shears Some Wolves"", West Magazine Vol."	"2, Juli 1948 ""Zorro Shears Some Wölfe"", West Magazine Vol."	-3.9872506	-0.15912099017372655
Annual influenza vaccinations in those with COPD reduce exacerbations, hospitalizations and death.	Jährliche Grippeimpfungen bei Patienten mit COPD reduzieren Verschlimmerungen, Krankenhausaufenthalte und den Tod.	0.39991304	-0.06641431417021154
Bursuq chose to retreat and the crusader rulers dispersed.	Bursuq entschied sich für den Rückzug und die Kreuzfahrer Herrscher zerstreut.	-0.15157296	-0.5395898102361323
The ascetic is a wandering mendicant in the Digambara tradition, or a resident mendicant in the Śvētāmbara tradition.	Der Asket ist ein wandernder Mendiant in der Digambara Tradition, oder ein ansässiger Mendiant in der Śvētāmbara Tradition.	0.23440896	-0.1693794026790984
I./KG 1 persisted with attacks on airfields attacking RAF Horsham St Faith and RAF West Raynham on 27 and 29 October.	I. / KG 1 setzte sich am 27. und 29. Oktober mit Angriffen auf Flugplätze fort, die RAF Horsham St. Faith und RAF West Raynham angriffen.	-1.3391002	-0.16336025272108398
